RunID,Mode,Lambda1,Lambda2,Gamma,GraphK,Tol,ACC,NMI,Purity,TimeSec,Status
34,4,0.001000,0.001000,1.10,3,1.0e-03,0.432500,0.675195,0.480000,8.07,Success
35,5,0.001000,0.001000,1.10,3,1.0e-03,0.285000,0.523411,0.312500,6.31,Success
36,1,0.010000,0.001000,1.10,3,1.0e-03,0.172500,0.398408,0.200000,8.08,Success
37,2,0.010000,0.001000,1.10,3,1.0e-03,0.195000,0.430282,0.205000,7.98,Success
38,3,0.010000,0.001000,1.10,3,1.0e-03,0.055000,0.242937,0.122500,8.02,Success
39,4,0.010000,0.001000,1.10,3,1.0e-03,0.062500,0.246125,0.125000,7.85,Success
40,5,0.010000,0.001000,1.10,3,1.0e-03,0.192500,0.418638,0.210000,7.72,Success
41,1,0.100000,0.001000,1.10,3,1.0e-03,0.125000,0.359076,0.165000,7.84,Success
42,2,0.100000,0.001000,1.10,3,1.0e-03,0.167500,0.405484,0.205000,7.70,Success
43,3,0.100000,0.001000,1.10,3,1.0e-03,0.135000,0.399100,0.192500,7.77,Success
44,4,0.100000,0.001000,1.10,3,1.0e-03,0.135000,0.398810,0.195000,7.75,Success
45,5,0.100000,0.001000,1.10,3,1.0e-03,0.117500,0.351665,0.175000,7.82,Success
46,1,1.000000,0.001000,1.10,3,1.0e-03,0.202500,0.435996,0.217500,7.86,Success
47,2,1.000000,0.001000,1.10,3,1.0e-03,0.202500,0.448630,0.215000,7.98,Success
48,3,1.000000,0.001000,1.10,3,1.0e-03,0.205000,0.446209,0.220000,7.98,Success
49,4,1.000000,0.001000,1.10,3,1.0e-03,0.227500,0.468789,0.237500,8.29,Success
50,5,1.000000,0.001000,1.10,3,1.0e-03,0.182500,0.435627,0.197500,8.14,Success
51,1,0.000100,0.010000,1.10,3,1.0e-03,0.357500,0.588713,0.385000,6.99,Success
52,2,0.000100,0.010000,1.10,3,1.0e-03,0.547500,0.746483,0.600000,7.68,Success
53,3,0.000100,0.010000,1.10,3,1.0e-03,0.362500,0.582222,0.380000,4.37,Success
54,4,0.000100,0.010000,1.10,3,1.0e-03,0.375000,0.618450,0.415000,5.24,Success
55,5,0.000100,0.010000,1.10,3,1.0e-03,0.360000,0.580203,0.392500,6.65,Success
56,1,0.001000,0.010000,1.10,3,1.0e-03,0.405000,0.618116,0.442500,7.69,Success
57,2,0.001000,0.010000,1.10,3,1.0e-03,0.465000,0.688079,0.517500,5.49,Success
58,3,0.001000,0.010000,1.10,3,1.0e-03,0.400000,0.616977,0.420000,6.83,Success
59,4,0.001000,0.010000,1.10,3,1.0e-03,0.477500,0.701654,0.507500,7.84,Success
60,5,0.001000,0.010000,1.10,3,1.0e-03,0.377500,0.579180,0.392500,3.15,Success
61,1,0.010000,0.010000,1.10,3,1.0e-03,0.392500,0.591361,0.412500,4.78,Success
62,2,0.010000,0.010000,1.10,3,1.0e-03,0.460000,0.688706,0.505000,5.14,Success
63,3,0.010000,0.010000,1.10,3,1.0e-03,0.407500,0.641090,0.445000,7.49,Success
64,4,0.010000,0.010000,1.10,3,1.0e-03,0.422500,0.633143,0.445000,5.56,Success
65,5,0.010000,0.010000,1.10,3,1.0e-03,0.350000,0.569071,0.372500,2.67,Success
66,1,0.100000,0.010000,1.10,3,1.0e-03,0.182500,0.425595,0.200000,7.75,Success
67,2,0.100000,0.010000,1.10,3,1.0e-03,0.160000,0.374998,0.182500,7.67,Success
68,3,0.100000,0.010000,1.10,3,1.0e-03,0.057500,0.254887,0.122500,7.61,Success
69,4,0.100000,0.010000,1.10,3,1.0e-03,0.060000,0.257396,0.127500,7.66,Success
70,5,0.100000,0.010000,1.10,3,1.0e-03,0.207500,0.439352,0.217500,7.76,Success
71,1,1.000000,0.010000,1.10,3,1.0e-03,0.202500,0.438144,0.222500,7.70,Success
