trial,norm_mode,norm_name,gamma,lambda2,beta,layers,ACC,NMI,Purity,time_s,alpha1,alpha2
69,2,L2-Col,5.00,0.001000,92.0,[400,150,40,],78.75,91.05,82.75,24.84,0.4496,0.5504
70,2,L2-Col,5.00,0.001000,92.0,[400,150,40,],78.00,90.88,81.50,24.83,0.4565,0.5435
71,2,L2-Col,5.00,0.001000,92.0,[400,150,40,],76.25,89.04,79.50,24.44,0.4632,0.5368
72,2,L2-Col,5.00,0.001000,92.0,[400,150,40,],74.75,88.35,77.50,24.33,0.4654,0.5346
73,2,L2-Col,5.00,0.002000,92.0,[400,150,40,],74.75,88.27,77.00,24.56,0.4494,0.5506
74,2,L2-Col,5.00,0.002000,92.0,[400,150,40,],77.25,89.99,80.50,24.36,0.4574,0.5426
75,2,L2-Col,5.00,0.002000,92.0,[400,150,40,],79.25,89.77,82.00,24.84,0.4622,0.5378
76,2,L2-Col,5.00,0.002000,92.0,[400,150,40,],78.75,89.66,80.50,24.29,0.4612,0.5388
77,2,L2-Col,5.00,0.005000,92.0,[400,150,40,],76.50,90.41,78.75,24.41,0.4463,0.5537
78,2,L2-Col,5.00,0.005000,92.0,[400,150,40,],76.75,90.42,80.25,24.53,0.4449,0.5551
79,2,L2-Col,5.00,0.005000,92.0,[400,150,40,],78.50,89.13,80.50,24.54,0.4476,0.5524
80,2,L2-Col,5.00,0.005000,92.0,[400,150,40,],76.25,88.70,78.00,24.43,0.4548,0.5452
81,2,L2-Col,5.00,0.010000,92.0,[400,150,40,],79.50,91.02,81.75,24.58,0.4405,0.5595
82,2,L2-Col,5.00,0.010000,92.0,[400,150,40,],80.50,90.85,81.75,24.30,0.4450,0.5550
83,2,L2-Col,5.00,0.010000,92.0,[400,150,40,],80.00,90.00,82.25,24.45,0.4457,0.5543
84,2,L2-Col,5.00,0.010000,92.0,[400,150,40,],77.75,89.64,80.00,24.51,0.4471,0.5529
85,2,L2-Col,5.00,0.000500,115.0,[400,150,40,],79.50,90.33,81.75,24.64,0.4559,0.5441
